Name: 斗鱼音乐-秋月剪水, URL: http://epg.112114.xyz/douyu/9588891, Date: 01-19-2024, Resolution: 1920x1080, Response Time: 2536ms
Name: 斗鱼电影HD6, URL: http://diyp.112114.xyz/douyu/323876, Date: 12-08-2023, Resolution: 1920x1080, Response Time: 1597ms
Name: 斗鱼电影HD7, URL: http://diyp.112114.xyz/douyu/6140589, Date: 12-31-2023, Resolution: 1920x1080, Response Time: 1118ms
Name: 斗鱼电影HD9, URL: http://diyp.112114.xyz/douyu/8770422, Date: 02-20-2024, Resolution: 1280x720, Response Time: 1131ms
Name: 斗鱼电影HD10, URL: http://diyp.112114.xyz/douyu/8770422, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 982ms
Name: 斗鱼电影HD12, URL: http://diyp.112114.xyz/douyu/218859, Date: 12-08-2023, Resolution: 1920x1080, Response Time: 566ms
Name: 斗鱼电影HD24, URL: http://diyp.112114.xyz/douyu/4332, Date: 01-09-2024, Resolution: 1920x1080, Response Time: 1431ms
Name: 斗鱼电影HD25, URL: http://diyp.112114.xyz/douyu/9651304, Date: 10-30-2023, Resolution: 1920x1080, Response Time: 1215ms
Name: 斗鱼电影HD27, URL: http://diyp.112114.xyz/douyu/8814650, Date: 01-14-2024, Resolution: 1920x1080, Response Time: 1149ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/747764, Date: 05-18-2023, Resolution: 1920x1920, Response Time: 1913ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/122402, Date: 01-09-2024, Resolution: 1920x1080, Response Time: 967ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/6140589, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 968ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/4332, Date: 01-18-2024, Resolution: 1920x1080, Response Time: 1148ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/4332, Date: 01-24-2024, Resolution: 1920x1080, Response Time: 1149ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/252802, Date: 03-06-2024, Resolution: 1920x1080, Response Time: 1593ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/85894, Date: 02-17-2024, Resolution: 1920x1080, Response Time: 1779ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/20415, Date: 12-08-2023, Resolution: 1920x1080, Response Time: 1801ms
Name: 斗鱼电影1, URL: http://tc-tct.douyucdn2.cn/dyliveflv1/20415rnWbjg6Ex1K_2000.flv?wsAuth=21eac7e8c6f60737a5777695d7e78b65&token=cpn-androidmpro-0-20415-b6774b3b3249db1714f6a26ef1f3033367889a4abcf8fd1f&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1, Date: 03-27-2024, Resolution: 1920x1080, Response Time: 1820ms
Name: 斗鱼电影1, URL: http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=c357f68d7199827c89663777da40c4ee&token=cpn-androidmpro-0-20415-b6774b3b3249db1798811cfe5c393414bcc73f076e3a65fa&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2, Date: 03-28-2024, Resolution: 1920x1080, Response Time: 1829ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/9292492, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 1833ms
Name: 斗鱼电影1, URL: http://diyp.112114.xyz/douyu/3637778, Date: 02-03-2024, Resolution: 1920x1080, Response Time: 1863ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/3637778, Date: 03-22-2024, Resolution: 1920x1080, Response Time: 1865ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/2516864, Date: 02-04-2024, Resolution: 1920x1080, Response Time: 1874ms
Name: 斗鱼电影1, URL: http://diyp.112114.xyz/douyu/2436390, Date: 01-09-2024, Resolution: 1920x1080, Response Time: 1924ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/2436390, Date: 01-13-2024, Resolution: 1920x1080, Response Time: 1925ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/9651304, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 1958ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/9651304, Date: 02-14-2024, Resolution: 1920x1080, Response Time: 1960ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/323876, Date: 03-06-2024, Resolution: 1920x1080, Response Time: 1975ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/8945323, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 2189ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/8799435, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 2316ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/5067952, Date: 11-27-2023, Resolution: 1280x720, Response Time: 1748ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/8814650, Date: 11-27-2023, Resolution: 1280x720, Response Time: 1854ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/7476264, Date: 02-02-2024, Resolution: 1280x720, Response Time: 1942ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/5522351, Date: 03-06-2024, Resolution: 1280x720, Response Time: 1946ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/6861249, Date: 01-14-2024, Resolution: 1152x720, Response Time: 1539ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/7655471, Date: 12-22-2023, Resolution: 1024x768, Response Time: 1819ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/8945323, Date: 12-24-2023, Resolution: 1080x540, Response Time: 2190ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/7314294, Date: 09-01-2023, Resolution: None, Response Time: 1138ms
Name: 斗鱼电影1, URL: http://epg.112114.xyz/douyu/1735337, Date: 03-20-2023, Resolution: None, Response Time: 1632ms
Name: 斗鱼电影2, URL: http://epg.112114.xyz/douyu/9249162, Date: 03-21-2024, Resolution: 1920x1080, Response Time: 37ms
Name: 斗鱼电影2, URL: http://epg.112114.xyz/douyu/252802, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 560ms
Name: 斗鱼电影2, URL: http://epg.112114.xyz/douyu/8945323, Date: 03-23-2024, Resolution: 1920x1080, Response Time: 1960ms
Name: 斗鱼电影2, URL: http://diyp.112114.xyz/douyu/315457, Date: 03-19-2024, Resolution: 1280x720, Response Time: 793ms
Name: 斗鱼电影2, URL: http://epg.112114.xyz/douyu/8814650, Date: 11-26-2023, Resolution: 1280x720, Response Time: 858ms
Name: 斗鱼电影2, URL: http://epg.112114.xyz/douyu/9650887, Date: 06-02-2023, Resolution: None, Response Time: 1304ms
Name: 斗鱼电影2, URL: http://epg.112114.xyz/douyu/3637726, Date: 05-18-2023, Resolution: None, Response Time: 1546ms
Name: 斗鱼电影3, URL: http://epg.112114.xyz/douyu/36337, Date: 11-26-2023, Resolution: 1920x1080, Response Time: 1024ms
Name: 斗鱼电影3, URL: http://diyp.112114.xyz/douyu/6369954, Date: 03-07-2024, Resolution: 1280x720, Response Time: 1445ms
Name: 斗鱼电影3, URL: http://epg.112114.xyz/douyu/8985415, Date: 04-23-2023, Resolution: None, Response Time: 2942ms
Name: 斗鱼电影4, URL: http://diyp.112114.xyz/douyu/2793084, Date: 02-28-2024, Resolution: 1280x720, Response Time: 1484ms
Name: 斗鱼电影4, URL: http://epg.112114.xyz/douyu/96577, Date: 01-04-2024, Resolution: 1280x720, Response Time: 1665ms
Name: 斗鱼电影4, URL: http://epg.112114.xyz/douyu/9650887, Date: 04-23-2023, Resolution: None, Response Time: 2464ms
Name: 斗鱼电影5, URL: http://epg.112114.xyz/douyu/6140589, Date: 11-26-2023, Resolution: 1920x1080, Response Time: 45ms
Name: 斗鱼电影5, URL: http://epg.112114.xyz/douyu/1226741, Date: 03-01-2024, Resolution: 1920x1080, Response Time: 848ms
Name: 斗鱼电影5, URL: http://diyp.112114.xyz/douyu/434971, Date: 11-26-2023, Resolution: 1280x720, Response Time: 1431ms
Name: 斗鱼电影5, URL: http://epg.112114.xyz/douyu/7116591, Date: 09-01-2023, Resolution: None, Response Time: 222ms
Name: 斗鱼电影6, URL: http://epg.112114.xyz/douyu/6776615, Date: 11-02-2023, Resolution: 1920x1080, Response Time: 748ms
Name: 斗鱼电影6, URL: http://epg.112114.xyz/douyu/36337, Date: 11-24-2023, Resolution: 1920x1080, Response Time: 813ms
Name: 斗鱼电影6, URL: http://epg.112114.xyz/douyu/20415, Date: 02-28-2024, Resolution: 1920x1080, Response Time: 848ms
Name: 斗鱼电影7, URL: http://epg.112114.xyz/douyu/122402, Date: 02-20-2024, Resolution: 1920x1080, Response Time: 592ms
Name: 斗鱼电影7, URL: http://diyp.112114.xyz/douyu/74374, Date: 02-03-2024, Resolution: 1920x1080, Response Time: 1107ms
Name: 斗鱼电影7, URL: http://epg.112114.xyz/douyu/2436390, Date: 11-24-2023, Resolution: 1920x1080, Response Time: 3661ms
Name: 斗鱼电影8, URL: http://epg.112114.xyz/douyu/9292492, Date: 02-03-2024, Resolution: 1280x720, Response Time: 801ms
Name: 斗鱼电影8, URL: http://epg.112114.xyz/douyu/96577, Date: 01-24-2024, Resolution: 1280x720, Response Time: 961ms
Name: 斗鱼电影9, URL: http://diyp.112114.xyz/douyu/7305938, Date: 12-19-2023, Resolution: 1920x1080, Response Time: 942ms
Name: 斗鱼电影9, URL: http://epg.112114.xyz/douyu/2516864, Date: 03-03-2024, Resolution: 1920x1080, Response Time: 1295ms
Name: 斗鱼电影9, URL: http://epg.112114.xyz/douyu/8770422, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 1993ms
Name: 斗鱼电影10, URL: http://epg.112114.xyz/douyu/6140589, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 96ms
Name: 斗鱼电影10, URL: http://epg.112114.xyz/douyu/4332, Date: 01-24-2024, Resolution: 1920x1080, Response Time: 682ms
Name: 斗鱼电影10, URL: http://epg.112114.xyz/douyu/8799435, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 3625ms
Name: 斗鱼电影11, URL: http://epg.112114.xyz/douyu/20415, Date: 12-08-2023, Resolution: 1920x1080, Response Time: 976ms
Name: 斗鱼电影11, URL: http://epg.112114.xyz/douyu/9651304, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 1004ms
Name: 斗鱼电影11, URL: http://epg.112114.xyz/douyu/5522351, Date: 03-06-2024, Resolution: 1280x720, Response Time: 3298ms
Name: 斗鱼电影11, URL: http://epg.112114.xyz/douyu/7655471, Date: 12-22-2023, Resolution: 1024x768, Response Time: 957ms
Name: 斗鱼电影12, URL: http://epg.112114.xyz/douyu/323876, Date: 03-06-2024, Resolution: 1920x1080, Response Time: 705ms
Name: 斗鱼电影12, URL: http://epg.112114.xyz/douyu/8814650, Date: 11-27-2023, Resolution: 1280x720, Response Time: 705ms
Name: 斗鱼电影12, URL: http://epg.112114.xyz/douyu/1735337, Date: 03-20-2023, Resolution: None, Response Time: 2659ms
Name: 斗鱼电影13, URL: http://epg.112114.xyz/douyu/747764, Date: 05-18-2023, Resolution: 1920x1920, Response Time: 795ms
Name: 斗鱼电影13, URL: http://diyp.112114.xyz/douyu/3637778, Date: 02-03-2024, Resolution: 1920x1080, Response Time: 781ms
Name: 斗鱼电影13, URL: http://epg.112114.xyz/douyu/8945323, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 2419ms
Name: 斗鱼电影13, URL: http://epg.112114.xyz/douyu/8014467, Date: 02-01-2024, Resolution: 1280x720, Response Time: 2370ms
Name: 斗鱼电影14, URL: http://epg.112114.xyz/douyu/252802, Date: 03-06-2024, Resolution: 1920x1080, Response Time: 551ms
Name: 斗鱼电影14, URL: http://epg.112114.xyz/douyu/85894, Date: 02-17-2024, Resolution: 1920x1080, Response Time: 568ms
Name: 斗鱼电影14, URL: http://epg.112114.xyz/douyu/7476264, Date: 02-02-2024, Resolution: 1280x720, Response Time: 656ms
Name: 斗鱼电影15, URL: http://epg.112114.xyz/douyu/122402, Date: 01-09-2024, Resolution: 1920x1080, Response Time: 203ms
Name: 斗鱼电影15, URL: http://epg.112114.xyz/douyu/2436390, Date: 01-13-2024, Resolution: 1920x1080, Response Time: 1565ms
Name: 斗鱼电影15, URL: http://epg.112114.xyz/douyu/8945323, Date: 12-24-2023, Resolution: 1080x540, Response Time: 1857ms
Name: 斗鱼电影16, URL: http://epg.112114.xyz/douyu/9292492, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 757ms
Name: 斗鱼电影16, URL: http://diyp.112114.xyz/douyu/2436390, Date: 01-09-2024, Resolution: 1920x1080, Response Time: 1775ms
Name: 斗鱼电影16, URL: http://epg.112114.xyz/douyu/6861249, Date: 01-14-2024, Resolution: 1152x720, Response Time: 2625ms
Name: 斗鱼电影17, URL: http://epg.112114.xyz/douyu/2516864, Date: 02-04-2024, Resolution: 1920x1080, Response Time: 876ms
Name: 斗鱼电影18, URL: http://epg.112114.xyz/douyu/4332, Date: 01-18-2024, Resolution: 1920x1080, Response Time: 302ms
Name: 斗鱼电影18, URL: http://epg.112114.xyz/douyu/7314294, Date: 09-01-2023, Resolution: None, Response Time: 5814ms
Name: 斗鱼电影19, URL: http://epg.112114.xyz/douyu/9651304, Date: 02-14-2024, Resolution: 1920x1080, Response Time: 666ms
Name: 斗鱼电影19, URL: http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=c357f68d7199827c89663777da40c4ee&token=cpn-androidmpro-0-20415-b6774b3b3249db1798811cfe5c393414bcc73f076e3a65fa&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2, Date: 03-28-2024, Resolution: 1920x1080, Response Time: 1750ms
Name: 斗鱼电影19, URL: http://tc-tct.douyucdn2.cn/dyliveflv1/20415rnWbjg6Ex1K_2000.flv?wsAuth=21eac7e8c6f60737a5777695d7e78b65&token=cpn-androidmpro-0-20415-b6774b3b3249db1714f6a26ef1f3033367889a4abcf8fd1f&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1, Date: 03-27-2024, Resolution: 1920x1080, Response Time: 1751ms
Name: 斗鱼电影20, URL: http://epg.112114.xyz/douyu/9249162, Date: 03-21-2024, Resolution: 1920x1080, Response Time: 37ms
Name: 斗鱼电影20, URL: http://epg.112114.xyz/douyu/8814650, Date: 11-26-2023, Resolution: 1280x720, Response Time: 969ms
Name: 斗鱼电影21, URL: http://epg.112114.xyz/douyu/8945323, Date: 03-23-2024, Resolution: 1920x1080, Response Time: 890ms
Name: 斗鱼电影21, URL: http://diyp.112114.xyz/douyu/315457, Date: 03-19-2024, Resolution: 1280x720, Response Time: 727ms
Name: 斗鱼电影22, URL: http://epg.112114.xyz/douyu/252802, Date: 11-27-2023, Resolution: 1920x1080, Response Time: 990ms
Name: 斗鱼电视剧HD1, URL: http://epg.112114.xyz/douyu/2838296, Date: 02-03-2024, Resolution: 1920x1080, Response Time: 5015ms
Name: 斗鱼电视剧HD2, URL: http://epg.112114.xyz/douyu/7489563, Date: 02-03-2024, Resolution: 1920x1080, Response Time: 5635ms
Name: 斗鱼电视剧HD3, URL: http://diyp.112114.xyz/douyu/7489563, Date: 02-20-2024, Resolution: 1920x1080, Response Time: 1473ms
Name: 斗鱼电视剧HD3, URL: http://epg.112114.xyz/douyu/6706214, Date: 06-02-2023, Resolution: None, Response Time: 4264ms
Name: 斗鱼电视剧HD4, URL: http://epg.112114.xyz/douyu/6566658, Date: 02-03-2024, Resolution: 1280x720, Response Time: 854ms
Name: 斗鱼电视剧1, URL: http://diyp.112114.xyz/douyu/4549169, Date: 03-23-2024, Resolution: 1280x720, Response Time: 997ms
Name: 斗鱼电视剧1, URL: http://diyp.112114.xyz/douyu/6899895, Date: 11-25-2022, Resolution: None, Response Time: 450ms
Name: 斗鱼电视剧6, URL: http://diyp.112114.xyz/douyu/5261342, Date: 03-01-2024, Resolution: 1280x720, Response Time: 932ms
Name: 斗鱼电视剧11, URL: http://diyp.112114.xyz/douyu/4549169, Date: 03-23-2024, Resolution: 1280x720, Response Time: 723ms
Name: 斗鱼动漫3, URL: http://diyp.112114.xyz/douyu/1174353, Date: 11-24-2023, Resolution: 1280x720, Response Time: 1066ms
Name: 斗鱼美食HD1, URL: http://diyp.112114.xyz/douyu/2901080, Date: 11-27-2023, Resolution: 1280x720, Response Time: 718ms
Name: 猫和老鼠, URL: http://epg.112114.xyz/douyu/7888428, Date: 09-01-2023, Resolution: None, Response Time: 1188ms
Name: 猫和老鼠, URL: http://epg.112114.xyz/douyu/7888428, Date: 05-18-2023, Resolution: None, Response Time: 1269ms
Name: 猫和老鼠, URL: https://epg.112114.xyz/huya/11352879, Date: 03-21-2023, Resolution: None, Response Time: 2502ms
Name: 中华小当家, URL: https://epg.112114.xyz/huya/11342413, Date: 03-21-2023, Resolution: None, Response Time: 4694ms
Name: 甄子丹, URL: http://8.210.232.168/php/huya.php?id=11352935, Date: 02-06-2024, Resolution: 1920x1080, Response Time: 2664ms
Name: 甄子丹, URL: http://43.138.170.29:35455/huya/11352935, Date: 03-26-2024, Resolution: None, Response Time: 1237ms
Name: 冯小刚, URL: https://epg.112114.xyz/huya/11352906, Date: 12-17-2023, Resolution: 1024x576, Response Time: 3575ms
Name: 南征北战, URL: http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/9557e1bfd91b4319975dfeffcc44d6b7/850.m3u8, Date: 12-17-2023, Resolution: 524x360, Response Time: 1182ms
Name: 路飞, URL: http://epg.112114.xyz/douyu/206858, Date: 03-21-2023, Resolution: None, Response Time: 2968ms
Name: 麻雀, URL: https://vd4.bdstatic.com/mda-pe90094bw520g3ve/sc/cae_h264/1683703740155303170/mda-pe90094bw520g3ve.mp4, Date: 08-22-2023, Resolution: None, Response Time: 750ms
Name: 金马影院, URL: https://pull.kktv8.com/livekktv/128600025.flv, Date: 03-27-2024, Resolution: 1280x720, Response Time: 1047ms
Name: 成龙, URL: https://hnzy.bfvvs.com/play/YaOEOQdx/index.m3u8, Date: 02-29-2024, Resolution: 1920x1072, Response Time: 191ms
Name: 成龙, URL: https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_tma4gUowLvk9wM.mp4, Date: 03-25-2024, Resolution: 1694x720, Response Time: 780ms
Name: 成龙, URL: https://epg.pw/stream/878f42c3aad763b3c38636313780e5677c61a63fb56fba870586c155ab7bcf33.ctv, Date: 03-05-2024, Resolution: 1280x720, Response Time: 1101ms
Name: 成龙, URL: http://em.21dtv.com/songs/60029219.mkv, Date: 12-18-2023, Resolution: 854x480, Response Time: 1636ms
Name: 成龙, URL: https://hnzy.bfvvs.com/play/QeZw58ap/index.m3u8, Date: 09-01-2023, Resolution: None, Response Time: 797ms
Name: 成龙, URL: http://cfss.cc/cdn/hy/11342386.flv, Date: 03-26-2024, Resolution: None, Response Time: 1792ms
Name: 成龙, URL: http://43.138.170.29:35455/huya/11342386, Date: 03-26-2024, Resolution: None, Response Time: 1797ms
Name: 王晶, URL: http://43.138.170.29:35455/huya/11602058, Date: 03-26-2024, Resolution: None, Response Time: 1089ms
Name: 王晶, URL: http://cfss.cc/cdn/hy/11602058.flv, Date: 03-26-2024, Resolution: None, Response Time: 1949ms
Name: 王晶, URL: http://8.210.232.168/php/huya.php?id=11602058, Date: 10-04-2023, Resolution: None, Response Time: 4284ms
Name: 沈腾, URL: http://hlsa-akm.douyucdn.cn/85894rmovieChow_4000p.m3u8, Date: 03-27-2024, Resolution: 1920x1080, Response Time: 718ms
Name: 沈腾, URL: http://epg.112114.xyz/huya/11601968, Date: 09-11-2023, Resolution: 1920x1080, Response Time: 4592ms
Name: 沈腾, URL: http://43.138.170.29:35455/huya/11601968, Date: 03-26-2024, Resolution: None, Response Time: 1244ms
Name: 沈腾, URL: http://cfss.cc/cdn/hy/11601968.flv, Date: 03-26-2024, Resolution: None, Response Time: 1424ms
Name: 沈腾, URL: http://8.210.232.168/php/huya.php?id=11601968, Date: 10-04-2023, Resolution: None, Response Time: 2475ms
Name: 黄渤, URL: http://8.210.232.168/php/huya.php?id=11352876, Date: 10-04-2023, Resolution: None, Response Time: 1078ms
Name: 黄渤, URL: http://43.138.170.29:35455/huya/11352876, Date: 03-26-2024, Resolution: None, Response Time: 1114ms
Name: 黄渤, URL: http://cfss.cc/cdn/hy/11352876.flv, Date: 03-26-2024, Resolution: None, Response Time: 1528ms
Name: 强森, URL: http://43.138.170.29:35455/huya/21059581, Date: 03-26-2024, Resolution: None, Response Time: 1216ms
Name: 强森, URL: http://cfss.cc/cdn/hy/21059581.flv, Date: 03-26-2024, Resolution: None, Response Time: 1521ms
Name: 强森, URL: http://8.210.232.168/php/huya.php?id=21059581, Date: 10-04-2023, Resolution: None, Response Time: 2913ms
Name: 漫威, URL: http://epg.112114.xyz/douyu/6140589, Date: 12-18-2023, Resolution: 1920x1080, Response Time: 1170ms
Name: 漫威, URL: http://epg.112114.xyz/douyu/6140589, Date: 10-05-2023, Resolution: 1920x1080, Response Time: 1171ms
Name: 漫威, URL: http://epg.112114.xyz/douyu/6140589, Date: 03-19-2024, Resolution: 1920x1080, Response Time: 1172ms
Name: 漫威, URL: http://epg.112114.xyz/douyu/6140589, Date: 01-08-2024, Resolution: 1920x1080, Response Time: 1172ms
Name: 漫威, URL: http://epg.112114.xyz/douyu/4282654, Date: 03-17-2023, Resolution: None, Response Time: 34ms
Name: 漫威, URL: http://epg.112114.xyz/douyu/4282654, Date: 03-20-2023, Resolution: None, Response Time: 35ms
Name: 漫威, URL: http://epg.112114.xyz/douyu/4282654, Date: 05-18-2023, Resolution: None, Response Time: 38ms
Name: 漫威, URL: http://epg.112114.xyz/douyu/4282654, Date: 09-01-2023, Resolution: None, Response Time: 56ms
Name: 漫威, URL: http://epg.112114.xyz/douyu/6140589, Date: 12-19-2022, Resolution: None, Response Time: 1171ms
Name: 漫威, URL: http://mmitv.top/test/douyu.php?id=6140589, Date: 11-27-2023, Resolution: None, Response Time: 3260ms
Name: 宇宙, URL: http://epg.112114.xyz/douyu/6140589, Date: 12-18-2023, Resolution: 1920x1080, Response Time: 408ms
Name: 宇宙, URL: http://epg.112114.xyz/douyu/6140589, Date: 10-05-2023, Resolution: 1920x1080, Response Time: 408ms
Name: 宇宙, URL: http://epg.112114.xyz/douyu/4282654, Date: 03-17-2023, Resolution: None, Response Time: 47ms
